categories/folders,Item Code,pic File name,Description,"oz., lb., gram, kg",Pieces Per Case,Price,Price Per Piece,Kashrut
Cookies_Crackers_Halva_Crunches_Wafer_Chocolate,ELIT016,ELIT016.jpg,Elite Chocolate coins Bittersweet 24 bags,24 bags,24,8.00,$0.33,
Cookies_Crackers_Halva_Crunches_Wafer_Chocolate,ELIT017,ELIT017.jpg,Elite Chocolate coins Milk 24 bags,24 bags,24,8.00,$0.33,
Cookies_Crackers_Halva_Crunches_Wafer_Chocolate,ELIT015,,Elite Chocolate Lentils 24/100 gr,100 grm,24,15.00,$0.63,
Cookies_Crackers_Halva_Crunches_Wafer_Chocolate,ELCW,ELCW.jpg,Elite Chocolate Wafer 20/10.6oz,10.6 oz,20,30.00,$1.50,
Cookies_Crackers_Halva_Crunches_Wafer_Chocolate,WAF05,WAF05.jpg,Elite Chocolate Wafers 20/300gr,,20,1.60,$0.08,
Cookies_Crackers_Halva_Crunches_Wafer_Chocolate,WAF04,WAF04.jpg,Elite Chocolate Wafers 20/500gr,,20,47.00,$2.35,
Cookies_Crackers_Halva_Crunches_Wafer_Chocolate,WAF03,WAF03.jpg,Elite Chocolate Wafers 24/250gr,,24,30.00,$1.25,
Cookies_Crackers_Halva_Crunches_Wafer_Chocolate,ELIT62,,Elite Fruit Toffee (Fruit Chews) 10/3lb,3 lb,10,46.50,$4.65,
Cookies_Crackers_Halva_Crunches_Wafer_Chocolate,HALV30,,Elite Halva- Vanilla sugarless 12/400gr,400 grm,24,33.00,$1.38,
Cookies_Crackers_Halva_Crunches_Wafer_Chocolate,ELIT033,ELIT033.jpg,Elite Milk Chocolate Bar 12/3oz,3 oz,12,18.00,$1.50,
Cookies_Crackers_Halva_Crunches_Wafer_Chocolate,ELIT0331,ELIT033.jpg,Elite Milk Chocolate Bar 24/3oz,3 oz,24,30.00,$1.25,
Cookies_Crackers_Halva_Crunches_Wafer_Chocolate,ELVW,,Elite Vanilla Wafer 20/10.6oz,10.6 oz,20,30.00,$1.50,
Cookies_Crackers_Halva_Crunches_Wafer_Chocolate,WAF06,WAF06.jpg,Elite Vanilla Wafers 20/300gr,,20,32.00,$1.60,
Cookies_Crackers_Halva_Crunches_Wafer_Chocolate,CRUN04,CRUN04.jpg,Honey Nut Crunch Mix 24/3oz,3 oz,24,22.00,$0.92,
Cookies_Crackers_Halva_Crunches_Wafer_Chocolate,WAF142,WAF142.jpg,Lior Choc Coated Waf 12/400gr,,12,27.00,$2.25,
Cookies_Crackers_Halva_Crunches_Wafer_Chocolate,WAF141,WAF141.jpg,Manamim Choc Coated Waf 12/400gr,,12,27.00,$2.25,
Cookies_Crackers_Halva_Crunches_Wafer_Chocolate,WAF21,WAF21.jpg,Neapolitans 18/320 gr,,18,44.00,$2.44,
Cookies_Crackers_Halva_Crunches_Wafer_Chocolate,WAF19,WAF19.jpg,Osem Chocolate Wafers 12/8.8 oz(250gr),,12,19.00,$1.58,
Cookies_Crackers_Halva_Crunches_Wafer_Chocolate,CRAC021,,Osem Petit Beurre Crackers 12/8.8oz,8.8 oz,12,17.40,$1.45,
Cookies_Crackers_Halva_Crunches_Wafer_Chocolate,CRAC011,CRAC011.jpg,Osem Sesame Crackers 12/8.8oz,8.8 oz,12,33.00,$2.75,
Cookies_Crackers_Halva_Crunches_Wafer_Chocolate,CRAC020,,Osem Sunny Wheat Crackers whole grain 12/6.7oz,6.7 oz,12,33.00,$2.75,
Cookies_Crackers_Halva_Crunches_Wafer_Chocolate,WAF18,WAF18.jpg,Osem Vanilla Wafers 12/8.8 oz(250gr)(Blue),,12,19.00,$1.58,
Cookies_Crackers_Halva_Crunches_Wafer_Chocolate,CRUN07,CRUN07.jpg,Peanut Honey Crunch 24/3 oz,3 oz,24,22.00,$0.92,
Cookies_Crackers_Halva_Crunches_Wafer_Chocolate,CRUN06,CRUN06.jpg,Sesame Honey Crunch 24/3 oz,3 oz,24,22.00,$0.92,
Dried_Fruits,ALU01,ALU01.jpg,Alu Buchara (yellow prunes) 26.4lb,4 lb,26.4,173.25,$6.56,
Dried_Fruits,ALU03,ALU01.jpg,Alu Buchara 30lb,30 lb,30,150.00,$5.00,
Dried_Fruits,ALU02,ALU01.jpg,Alu Buchara 44lb,44 lb,44,308.00,$7.00,
Dried_Fruits,APPL01,APPL01.jpg,Apple Rings 44 lb,44 lb,44,129.00,$2.93,
Dried_Fruits,BAN00,,Banana Chips 14 lb,14 lb,14,0.00,$0.00,
Dried_Fruits,RAI1,PRINIV Strawberry Banana 12/1.5 lt.jpg,Black Chilean Jumbo Raisin DFV 30lb,,30,45.00,$1.50,
Dried_Fruits,RAI100,RAI100.jpg,Black Chilean Jumbo Raisin SANTIS 30lb,,30,59.70,$1.99,
Dried_Fruits,DATE0003,DATE00041.jpg,CA Madjhoul MEDIUM Dates 11 lb,11 lb,11,38.50,$3.50,
Dried_Fruits,RAI10,Raw Chick peas Large Mexico 55 lb.jpg,Currants (black small raisin)/30lb,,30,69.00,$2.30,
